"","text","tweet_id","tweet_time","tweeter","tweeter_name","GoPackGo","Packers","GBvsNYG","GiantsPride","Giants","Association"
"1","@RobDemovsky Ah, so sorry to hear. I lost my mom to that horrible disease 16 yrs ago. My heart goes out to @crosbykicks2, his brother &amp; their entire family in this difficult time.
#GoPackGo 
#FindACureForOvarianCancer https://t.co/C6WMSiKbdb",1201259201185619968,"2019-12-01 21:58:06",762626212694863872,"Jeff",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"2","A @packers win today is just what I needed. #GoPackGo",1201259192281174016,"2019-12-01 21:58:04",473340446,"Jordyn",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersTweets"
"3","Winning in a Winter Wonderland❄️🏈 #GoPackGo @crosbykicks2 @packers @NFL https://t.co/fLTgmuRGvW",1201259014887215104,"2019-12-01 21:57:22",816295705539002368,"Judith Garza, LAT, CCS-P",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersTweets"
"4","9-3. #GoPackGo",1201258804538728448,"2019-12-01 21:56:31",1072364088,"Michael",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"5","Packers win! Get the best stocking stuffers ever! The Cheesehead Devotionals: Kickoff Edition, Hall of Fame Edition. Award winning. Endorsed by Reggie's wife, Brett's mom, Kevin Harlan, Wayne Larrivee. https://t.co/wGbNh7vQ2M https://t.co/W5njlj0iGX #greatreads #GoPackGo",1201258762700500992,"2019-12-01 21:56:21",795851276,"Judy DuCharme",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"6","#GoPackGo #GreenBayAllDay #howboutdemcowboys 🤣💪🏿 https://t.co/CY5vigqJFD",1201258635466346496,"2019-12-01 21:55:51",934686862928678912,"Nah Lowitz",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"7","9-3..  AWESOME...  But a false sense of success..... Dive deep Packer fans..  Room for improvement all over and needed for any potential playoff run..  #GoPackGo",1201258601819586560,"2019-12-01 21:55:43",295351620,"PopRock 🇺🇸",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"8","“Great teams don’t lose 2 in a row” #GoPackGo",1201258586460037120,"2019-12-01 21:55:39",478253678,"Dan",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"9","📢Cyber Monday Auction Low Bid Alert!🚨

Brett Favre ""SB XXXI Champs"" autographed Packers football!

Current bid is only $104!🤑

https://t.co/dozp9zEPu2

#cybermonday #brettfavre #autograph #sportsmemorabilia #memorabilia #auction #nfl #football #favre #packers #GoPackGo https://t.co/k6Heh2JKbY",1201258577567961088,"2019-12-01 21:55:37",834433924679938048,"Auction of Champions",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"10","@ASavageNation @VP @LindseyKevitch @marklevinshow @Sophiejulia @jeremypiven @UPS @KTNV @FOX5Vegas @JewishJournal @AKevitch @jennadewan @JennyTaft @RealSkipBayless @GOPLeader @drtonyevans @kenjeong @maxkellerman @RahmEmanuel @RepFredUpton @tedlieu @TulsiGabbard @BillHemmer @SandraSmithFox @BillClinton @seanhannity @SheinelleJones @Sheriff_LVMPD @LVMPD @FedEx 👂to @cannonhartman @ohrnberger @AM570LASports 👍 @kurt13warner @Kevinharlan @Theoldp @mattmoneysmith @AKevitch @brighten_HQ @Eagles #FlyEaglesFly @packers #GoPackGo @TomBrady @Edelman11 for @DCarr8 @espn_jon 👀🔝@Chargers #BoltUp &amp; go 2 @SanDiegoCounty @Kevin_Faulconer @sdut @EW",1201258576288681984,"2019-12-01 21:55:37",989123054872608768,"WarriorProphetJeremiahWBalik",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersTweets"
"11","I like the win but come playoff time, the ONLY team I don’t wanna see...is the Seahawks. I hate playing them no matter where we at. #GoPackGo",1201258494021832704,"2019-12-01 21:55:17",221854112,"#RampagingBeast",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"12","Sweet picture from #GBvsNYG #GoPackGo https://t.co/nMVkSk0ATH",1201258430121627648,"2019-12-01 21:55:02",817895171803193344,"David Hawkins خناشي",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"13","YES❕❕❕❕❕❕ #GoPackGo 🏈🏈🏈 https://t.co/YTc5hVXUhs",1201258387691859968,"2019-12-01 21:54:52",193913902,"MARIE 🐩🐾🐾🎄🎄🍗🍗💞🌵",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"14","Momma is sick so I put up the Christmas tree for her ☺️ #GoPackGo 💚💛 https://t.co/t5hlXWYOnJ",1201258265805574144,"2019-12-01 21:54:23",636350437,"julie 🌼",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"15","Calling it a night for #NFLRedZone an entertaining batch of early games.  Packers get another win to edge a little closer to claiming the Division. Really need the Seahawks to do us a favour on Monday night #GoPackGo",1201258242829115392,"2019-12-01 21:54:18",24912591,"Chöpstick 🇪🇺",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"16","@Bill_Michaels The Rodgers numbers don't tell the real story... Not hitting open guys as pointed out by announcers, running down play clock continuously, wasted time outs, going deep to Adams on 3rd an short, no urgency w/ two min drill before half. ect... #GoPackGo",1201258159307927552,"2019-12-01 21:53:58",295351620,"PopRock 🇺🇸",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"17","Scotch. A winner's drink. 9-3 #GoPackGo #GBvsNYG https://t.co/L1x6iIX2Sz",1201258057793261568,"2019-12-01 21:53:33",617688770,"Zachary",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"18","@ScriptsByJames That’s right! I don’t care what anyone says about who Packers haven’t beaten! 9-3 baby! #GoPackGo",1201258015816421376,"2019-12-01 21:53:23",229552789,"Suhail",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"19","#GoPats #GoPackGo @Patriots #Patriots #NEvsHOU https://t.co/aVkIDFD8Cm",1201257875034779648,"2019-12-01 21:52:50",35508844,"M a u r o   ⓟ",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"20","@packers @tae15adams Unreal as usual #GBvsNYG #GoPackGo 

@tae15adams + #ProBowlVote",1201257777294913536,"2019-12-01 21:52:27",1172188313370992640,"From Field to Fan",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersTweets"
"21","@_nictro #GoPackGo i hope the vikings get humbled tomorrow night",1201257607350104064,"2019-12-01 21:51:46",1126567475892695040,"#ExtendEli",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"22","@HailJaMoney23 Cornerback for the Pack #GoPackGo",1201257550299222016,"2019-12-01 21:51:32",822180577,"Julian Cruz",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"23","We won! 🏈🏈🏈🏈🏈🏈🏈🏈🏈
#GoPackGo https://t.co/XuXZ9MIaWt",1201257522511958016,"2019-12-01 21:51:26",1154362452332728320,"JoKeR",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"24","All I can say is, GO PACK GO!!

#GoPackGo #NFLSunday",1201257396905091072,"2019-12-01 21:50:56",1113976259858583552,"“Shockwave” Shaun Schoolfield",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"25","What a great weekend for Wisconsin football!!🏈 #Badgers and #Packers fan for life!!! #GoPackGo #GBvsNYG https://t.co/Noa4zDO4BH",1201257395172839424,"2019-12-01 21:50:55",522324553,"Karin Jarvise❄️",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"26","#GoPackGo",1201257340416212992,"2019-12-01 21:50:42",3603337276,"Madd",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"27","Today’s win means the return of meaningful December football in Green Bay. No one is more excited about that than @AaronRodgers12. 

#GoPackGo #Packers #CHTV🧀 #GBvsNYG 

(📸: @packers) https://t.co/1mOx9QXVpf",1201257337736105984,"2019-12-01 21:50:42",11090842,"Cheesehead TV",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersTweets"
"28","@OurLiquidDuck Please let us all know once you’ve made it safely! 🙌🏻💚💛 Green and Gold rides and dies together #GoPackGo",1201257333562720256,"2019-12-01 21:50:41",540333207,"in Pettine we trust",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"29","A win is a win.  Move on, get better.  Do NOT get complacent. Washington is playing hungry. Get back to work.   #GoPackGo https://t.co/JMNn5rdppU",1201257321873203200,"2019-12-01 21:50:38",65830296,"Chad Johnson (Not OchoCinco)",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"30","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:25",35865630,"Green Bay Packers",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"31","#GoPackGo 🧀 9-3",1201257212469030912,"2019-12-01 21:50:12",189645607,"🧀🧠👨🏾‍⚕️👨🏾‍🔬🧬💵",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"32","Good football weekend for everyone’s favorite Midwest state #OnWisconsin #GoPackGo https://t.co/GtxDucDlVY",1201257207175794688,"2019-12-01 21:50:11",65651571,"Matt Dixon",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"33","#GoPackGo https://t.co/S0JI7cDnBY",1201257152205090816,"2019-12-01 21:49:58",885967597715562496,"Marcus Jones 💰",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"34","#gopackgo https://t.co/qyg3KyOXEB",1201257121465155584,"2019-12-01 21:49:50",75304267,"RoBeRt G",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"35","#GoPackGo https://t.co/FvbOOWKneG",1201257080449110016,"2019-12-01 21:49:40",739658642,"David Allen",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"36","TOOK OVER #GOPACKGO https://t.co/ELTE7xBQ1y",1201257044864622592,"2019-12-01 21:49:32",450310516,"David Garcia",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"37","#GoPackGo https://t.co/sRNheMMUIL",1201257042478059520,"2019-12-01 21:49:31",411114910,"PAULO",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"38","#GoPackGo 9-3🧀 https://t.co/Ae2NGUaPIp",1201257030671097856,"2019-12-01 21:49:29",773689723466477568,"josiah ⎊",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"39","I'll Be Upholding 2 Of My Brothers &amp; Cousins Teams Which Is Packers &amp; Ravens For The Remainder Of The Current Season. Thank You, No Further Questions
#NFL100 
#GoPackGo
#RavensFlock",1201256959862665216,"2019-12-01 21:49:12",402305744,"Grizzly",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"40","Convincing win today. The Pack is back! #GoPackGo https://t.co/ka5qf12oQr",1201256940317241344,"2019-12-01 21:49:07",195579416,"Greg Cybulski 🇨🇦⚾️🏈🦃🏒🏁",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"41","Snow, Rain or hail... Anytime the packers play in NJ I'm there... #GoPackGo #BeatTheGiants #ItWasCold #NotThatWisconsinCold #GreenAndYellow @ MetLife Stadium https://t.co/IzgGJSD4pG",1201256827008233472,"2019-12-01 21:48:40",65195097,"Cristopher Roca",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"42","#GoPackGo see y’all next Sunday @LambeauField!!! @packers @AllenLazard @Showtyme_33 @tae15adams @AaronRodgers12",1201256717062987776,"2019-12-01 21:48:14",254586498,"Czandlar",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersTweets"
"43","@Bill_Michaels Of all the potential NFC playoff matchups you named I am not confident in any, home or away.. Just not.. #GoPackGo",1201256627460071424,"2019-12-01 21:47:52",295351620,"PopRock 🇺🇸",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"44","#GoPackGo",1201256503102988288,"2019-12-01 21:47:23",1199268757,"7.",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"45","@NFL_Scorigami #gopackgo -igami",1201256483360403456,"2019-12-01 21:47:18",311189140,"Jeff Murray",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"46","@packers #GoPackGo",1201256436602408960,"2019-12-01 21:47:07",1155866341888471040,"27-3 Thud",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersTweets"
"47","back to winning ways in the snow #GoPackGo",1201256411163963392,"2019-12-01 21:47:01",298162410,"🇮🇪Paul🍻",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"48","Huge win for the Packers today!! #GoPackGo",1201256300472160256,"2019-12-01 21:46:34",3975898695,"Brent Williams",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"49","Here’s the difference between Lazard and any other packers WR, besides Adams. He runs, he gets open, and he makes catches. Lazard WR2. #GoPackGo",1201256208696561664,"2019-12-01 21:46:13",876465150,"Jayme",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"50","Uh, literally any human being who has  seen him play football since 2008. #GoPackGo https://t.co/SDL1G5yeZK",1201256141789048832,"2019-12-01 21:45:57",28645793,"mjc",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"51","EASY WIN!!! #GoPackGo https://t.co/fQc14AAJDk",1201256139658125312,"2019-12-01 21:45:56",2452266386,"Chuckklez",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"52","Fuck the giants... #GoPackGo",1201256107295068160,"2019-12-01 21:45:48",65098285,"ComptonAssWoody",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"53","They will have to win in SF to accomplish what this season’s goals are. It’s an imperfect team, but I still very much think they are capable. I mean, that’s it. Win a game no one thinks you can, or don’t. That is what the season will come down to #GoPackGo",1201256048251854848,"2019-12-01 21:45:34",65651571,"Matt Dixon",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"54","@GoatAaronJones I'm with u bro... no need to make friends with Vikings fans anyways...Fuck the Vikings #Gopackgo",1201256027980627968,"2019-12-01 21:45:29",590445991,"Cheesehead Alex",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"55","1pm slate 

#GoPackGo -7✅
#RavensFlock -6❌
#Titans -1✅
#HereWeGo +2✅
#TakeFlight -3.5❌
#DUUUVAL -3❌
#FlyEaglesFly -10.5❌
#KeepPounding -10.5❌",1201256027037085696,"2019-12-01 21:45:29",923251114807570432,"Coin Jesus",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"56","@packers @AaronRodgers12 This picture makes for an excellent new background. #GoPackGo https://t.co/U4pZHnQTe8",1201255909714022400,"2019-12-01 21:45:01",65812152,"kayla.⚡️",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersTweets"
"57","Victory beer. #GoPackGo - Drinking a Best Brown Ale by @BellsBrewery - https://t.co/vlhDZ17t9W",1201255838654050304,"2019-12-01 21:44:44",42085070,"JD",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"58","@packers Still have work to do to get on par with the top NFC and AFC teams. On to the next one. #GoPackGo",1201255836573548544,"2019-12-01 21:44:44",959905606894108672,"Factoid [Dollar Bin Diver] team TBD",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersTweets"
"59","9-3!🧀#GoPackGo https://t.co/8mdYvUvsan",1201255832731684864,"2019-12-01 21:44:43",972468767585271808,"Christian #DefendTheDen😼",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"60","@ClaireBLang just did another round of shoveling!  At least the Packers won!  #GoPackGo",1201255802645962752,"2019-12-01 21:44:36",40109502,"Douglas Newman",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"61","Are you guys SURE you don’t want to be Packers fans?!? #GOPACKGO https://t.co/y3jGwp3fmD",1201255664070397952,"2019-12-01 21:44:03",249387826,"DeeVante Adams",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"62","#Packers QB Aaron Rodgers gets No. 38. Read this gem from @mattschneidman of @TheAthleticWISC to find out what I'm referring to: https://t.co/3cMEzdcAj3 #GoPackGo #GoPack #GBvsNYG #NFLSunday #NFLRedZone  #NFL100 @TheAthleticNFL",1201255655069421568,"2019-12-01 21:44:01",275090146,"Jeff Maillet",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"63","@MarcedesLewis89 Nice TD today! I had to do 89 Jumping Jacks! I do as many jumping jacks as the Packer player who scores a TD! Very Happy for you!#GoPackGo!   💚💛🏈🧀🧀🍪💪🤠🔥",1201255642532601856,"2019-12-01 21:43:58",513716222,"Nancy Beaulieu",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
