"","text","original_id","retweet_time","retweeter","retweeter_name","GoPackGo","Packers","GBvsNYG","GiantsPride","Giants","Association"
"1","@ASavageNation @VP @LindseyKevitch @marklevinshow @Sophiejulia @jeremypiven @UPS @KTNV @FOX5Vegas @JewishJournal @AKevitch @jennadewan @JennyTaft @RealSkipBayless @GOPLeader @drtonyevans @kenjeong @maxkellerman @RahmEmanuel @RepFredUpton @tedlieu @TulsiGabbard @BillHemmer @SandraSmithFox @BillClinton @seanhannity @SheinelleJones @Sheriff_LVMPD @LVMPD @FedEx 👂to @cannonhartman @ohrnberger @AM570LASports 👍 @kurt13warner @Kevinharlan @Theoldp @mattmoneysmith @AKevitch @brighten_HQ @Eagles #FlyEaglesFly @packers #GoPackGo @TomBrady @Edelman11 for @DCarr8 @espn_jon 👀🔝@Chargers #BoltUp &amp; go 2 @SanDiegoCounty @Kevin_Faulconer @sdut @EW",1201258576288681984,"2019-12-01 21:55:40",989123054872608768,"WarriorProphetJeremiahWBalik",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersRetweets"
"2","Today’s win means the return of meaningful December football in Green Bay. No one is more excited about that than @AaronRodgers12. 

#GoPackGo #Packers #CHTV🧀 #GBvsNYG 

(📸: @packers) https://t.co/1mOx9QXVpf",1201257337736105984,"2019-12-01 21:51:13",16953393,"Aaron Nagler",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersRetweets"
"3","Today’s win means the return of meaningful December football in Green Bay. No one is more excited about that than @AaronRodgers12. 

#GoPackGo #Packers #CHTV🧀 #GBvsNYG 

(📸: @packers) https://t.co/1mOx9QXVpf",1201257337736105984,"2019-12-01 21:51:17",245469138,"Tony Morgese",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersRetweets"
"4","Today’s win means the return of meaningful December football in Green Bay. No one is more excited about that than @AaronRodgers12. 

#GoPackGo #Packers #CHTV🧀 #GBvsNYG 

(📸: @packers) https://t.co/1mOx9QXVpf",1201257337736105984,"2019-12-01 21:52:41",31689942,"packersforever",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersRetweets"
"5","Today’s win means the return of meaningful December football in Green Bay. No one is more excited about that than @AaronRodgers12. 

#GoPackGo #Packers #CHTV🧀 #GBvsNYG 

(📸: @packers) https://t.co/1mOx9QXVpf",1201257337736105984,"2019-12-01 21:53:07",139960190,"Dave Shreeve",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersRetweets"
"6","Today’s win means the return of meaningful December football in Green Bay. No one is more excited about that than @AaronRodgers12. 

#GoPackGo #Packers #CHTV🧀 #GBvsNYG 

(📸: @packers) https://t.co/1mOx9QXVpf",1201257337736105984,"2019-12-01 21:54:08",4540906097,"Packers12Rodgers🐐",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersRetweets"
"7","Today’s win means the return of meaningful December football in Green Bay. No one is more excited about that than @AaronRodgers12. 

#GoPackGo #Packers #CHTV🧀 #GBvsNYG 

(📸: @packers) https://t.co/1mOx9QXVpf",1201257337736105984,"2019-12-01 21:54:13",723185970292490240,"Miss Courtney",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersRetweets"
"8","Today’s win means the return of meaningful December football in Green Bay. No one is more excited about that than @AaronRodgers12. 

#GoPackGo #Packers #CHTV🧀 #GBvsNYG 

(📸: @packers) https://t.co/1mOx9QXVpf",1201257337736105984,"2019-12-01 21:57:44",739769498,"Hitman 1-2",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersRetweets"
"9","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:32",458908503,"Alexa Wood",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"10","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:33",20714963,"🐲PACE🐲",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"11","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:33",2673495107,"Doug LeJambre",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"12","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:35",55860224,"Katie B",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"13","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:35",2737917682,"Kenneth",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"14","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:37",837500093599211520,"Adam Rodry",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"15","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:41",16272615,"Babyf8ce",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"16","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:45",2384076626,"daniel isaac sanchez",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"17","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:50:48",420100937,"RIP Granny ❤️",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"18","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:51:02",155101600,"Christie🧀💚💛",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"19","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:51:02",3120216321,"SnowSZN ❄️⛄️(13-6)🚀 (9-3-0)🧀 (0-0)☄️ (12-10-4)🐺",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"20","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:51:08",931000391940038656,"Ashley Nicole Wilson",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"21","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:51:20",1158233796183044096,"Mackenzie Cain",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"22","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:51:24",3232158732,"IVAN ☾",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
"23","A 2️⃣-touchdown day for @tae15adams! 

#GBvsNYG | #GoPackGo https://t.co/ab0FXtu8k4",1201257266915229696,"2019-12-01 21:51:27",1560743412,"Franch",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersRetweets"
