original_id,original_name,original_tweeter,retweet_id,retweet_time,retweeter,retweeter_name
1201244243509035009,Green Bay Packers,35865630,1201259210916454400,2019-12-01 21:58:08,473340446,Jordyn
1201249708082991104,NFL GameDay,352499224,1201259152355385344,2019-12-01 21:57:54,3227383974,Marcus Wehr
1201243246036471811,GBP Daily,4656272179,1201259141911793665,2019-12-01 21:57:52,1053829146,G❤️
1201244243509035009,Green Bay Packers,35865630,1201259130960396289,2019-12-01 21:57:49,242827848,BRENDA BOLIO
1201249801624530945,NFL,19426551,1201259116750155777,2019-12-01 21:57:46,1623105589,The Candy Shop
1201249801624530945,NFL,19426551,1201259115076472832,2019-12-01 21:57:46,2864492055,"Dori J. Mouawad - DJM Software, LLC"
1201257266915229696,Green Bay Packers,35865630,1201259112912306176,2019-12-01 21:57:45,69962846,Tyler Swanson
1201257337736105986,Cheesehead TV,11090842,1201259108000813062,2019-12-01 21:57:44,739769498,Hitman 1-2
1201249801624530945,NFL,19426551,1201259103332401152,2019-12-01 21:57:43,905243237127929856,NFLファン
1201234595548745730,Green Bay Packers,35865630,1201259101310857216,2019-12-01 21:57:42,825575962431610880,Mamas🦋
1201244243509035009,Green Bay Packers,35865630,1201259099859640324,2019-12-01 21:57:42,897767839,Parlay
1201254591616212992,Green Bay Packers,35865630,1201259091139674114,2019-12-01 21:57:40,221963685,jaye 💖💜💙
1201244243509035009,Green Bay Packers,35865630,1201259077806018561,2019-12-01 21:57:37,549007848,Ryan Cameron
1201257266915229696,Green Bay Packers,35865630,1201259077151555584,2019-12-01 21:57:36,300008938,Javier Ortiz
1201246593355321346,NFL,19426551,1201259048273928192,2019-12-01 21:57:30,326850281,Allison ☀️
1201244243509035009,Green Bay Packers,35865630,1201259005458305024,2019-12-01 21:57:19,750872877063368708,Karen Scheel Morris
1201244580303249408,Mad Dad,2369205487,1201258990770032640,2019-12-01 21:57:16,1089847455003365376,Let_Logic_Loose 🇺🇸
1201250994106974208,Green Bay Packers,35865630,1201258983669075968,2019-12-01 21:57:14,520044362,in lafleur we trust 9-3 🧀
1201246593355321346,NFL,19426551,1201258966543732736,2019-12-01 21:57:10,2497057784,Frank J Sakonyi III
1201239640914702339,Green Bay Packers,35865630,1201258960340312065,2019-12-01 21:57:09,1165302895673270272,Eλένη
1201250994106974208,Green Bay Packers,35865630,1201258952123715584,2019-12-01 21:57:07,726202196522463233,Billy Haim JR
1201209316063117312,NFL,19426551,1201258946855522305,2019-12-01 21:57:05,1137543707064881153,Gilang Bayu
1201249801624530945,NFL,19426551,1201258917126451200,2019-12-01 21:56:58,976617250638659584,Green Bay Today
1201208665472004097,NFL,19426551,1201258914513211393,2019-12-01 21:56:58,1137543707064881153,Gilang Bayu
1201207317737246720,NFL,19426551,1201258904753078272,2019-12-01 21:56:55,1137543707064881153,Gilang Bayu
1201250994106974208,Green Bay Packers,35865630,1201258896016457729,2019-12-01 21:56:53,723060139,Derek Vail
1201208665472004097,NFL,19426551,1201258889406230533,2019-12-01 21:56:52,956492594049114112,Esmer Fuentes
1201246593355321346,NFL,19426551,1201258874742939649,2019-12-01 21:56:48,977234844995506176,💸eboogie💸
1201244243509035009,Green Bay Packers,35865630,1201258870871445505,2019-12-01 21:56:47,2157607040,hannah
1201244243509035009,Green Bay Packers,35865630,1201258867126091778,2019-12-01 21:56:46,79412233,Jimmy Boam
1201244243509035009,Green Bay Packers,35865630,1201258860608143361,2019-12-01 21:56:45,158893215,Rafa Maravillas
1201249708082991104,NFL GameDay,352499224,1201258858011938816,2019-12-01 21:56:44,323408157,Oren Burks
1201244581746003968,Mad Dad,2369205487,1201258801254432768,2019-12-01 21:56:31,96040734,💯🇺🇸Elohim Within🤎🕯🙏🚂🇺🇸☀️
1201245264478195713,IKE Packers,889299850730319872,1201258782900269057,2019-12-01 21:56:26,1042987810553135105,chicken little 🐔
1201250994106974208,Green Bay Packers,35865630,1201258762163503104,2019-12-01 21:56:21,3414076749,Gretchen Peetz
1201203639521402880,NFL,19426551,1201258761005875201,2019-12-01 21:56:21,1137543707064881153,Gilang Bayu
1201250994106974208,Green Bay Packers,35865630,1201258753271746560,2019-12-01 21:56:19,273002632,Jonathan Murphy
1201250994106974208,Green Bay Packers,35865630,1201258746640551938,2019-12-01 21:56:18,380541506,🦋
1201235098999443466,Green Bay Packers,35865630,1201258731129884672,2019-12-01 21:56:14,1037905488141328384,Cody Komorowski
1201244243509035009,Green Bay Packers,35865630,1201258730395848705,2019-12-01 21:56:14,758424165678317568,Rebecca gee
1201244243509035009,Green Bay Packers,35865630,1201258724205244418,2019-12-01 21:56:12,425235470,Jordan-_-
1201257266915229696,Green Bay Packers,35865630,1201258708380110848,2019-12-01 21:56:09,721891180565245952,αλέ🇬🇷
1201244580655403008,Mad Dad,2369205487,1201258707016798210,2019-12-01 21:56:08,762075452085112833,themissus
1201241226927857669,#GoPackGo (9-3),60754273,1201258686527758338,2019-12-01 21:56:03,1875076874,Miguelmusic6
1201236822828998656,Green Bay Packers,35865630,1201258681863528450,2019-12-01 21:56:02,721568736809910272,Baur
1201253553018408960,Will Presti,1944881082,1201258672384610304,2019-12-01 21:56:00,1170081880475090945,Matt Segal
1201244243509035009,Green Bay Packers,35865630,1201258663618334721,2019-12-01 21:55:58,885009804661600258,Packers (9-3) 🧀
1201250994106974208,Green Bay Packers,35865630,1201258653325676544,2019-12-01 21:55:55,1609554973,Brett Kornberg
1201244243509035009,Green Bay Packers,35865630,1201258649487839232,2019-12-01 21:55:55,983946899341230080,Alyssa
1201249801624530945,NFL,19426551,1201258618563284994,2019-12-01 21:55:47,1043072826918330368,Valentina Braxton
1201246593355321346,NFL,19426551,1201258613987299328,2019-12-01 21:55:46,425235470,Jordan-_-
1201258576288681984,WarriorProphetJeremiahWBalik,989123054872608769,1201258588833865728,2019-12-01 21:55:40,989123054872608769,WarriorProphetJeremiahWBalik
1201244965692686338,NFL México,106306522,1201258567895896064,2019-12-01 21:55:35,17612081,"Give 'Em Hell, Kid"
1201219590551932928,New York Giants,240734425,1201258566583279616,2019-12-01 21:55:35,1662925963,cinnamon apple
1201257266915229696,Green Bay Packers,35865630,1201258553748705280,2019-12-01 21:55:32,1036470881596276741,AP 🧀 9-3 🇵🇹🇨🇦
1201249801624530945,NFL,19426551,1201258546693902337,2019-12-01 21:55:30,524914123,Devin 🧀(9-3)
1201201402409816071,CRAIGRICK57,365522869,1201258538728927233,2019-12-01 21:55:28,1607362724,😤
