text,tweet_id,tweet_time,tweeter,tweeter_name
"@RobDemovsky Ah, so sorry to hear. I lost my mom to that horrible disease 16 yrs ago. My heart goes out to @crosbykicks2, his brother &amp; their entire family in this difficult time.
#GoPackGo 
#FindACureForOvarianCancer https://t.co/C6WMSiKbdb",1201259201185619970,2019-12-01 21:58:06,762626212694863872,Jeff
A @packers win today is just what I needed. #GoPackGo,1201259192281174017,2019-12-01 21:58:04,473340446,Jordyn
"@Bill_Michaels @Giants Good response after another dud out West. Now tapered because it was the NY, but they need to look good against bad teams, have to take care of business against these next few opponents to build confidence and try to get hot. 49ers lost, one of Min/Seattle will lose. #GoPackGo",1201259112383811584,2019-12-01 21:57:45,136348678,Tyler Kircher
Winning in a Winter Wonderland❄️🏈 #GoPackGo @crosbykicks2 @packers @NFL https://t.co/fLTgmuRGvW,1201259014887215104,2019-12-01 21:57:22,816295705539002368,"Judith Garza, LAT, CCS-P"
9-3. #GoPackGo,1201258804538728450,2019-12-01 21:56:31,1072364088,Michael
"Packers win! Get the best stocking stuffers ever! The Cheesehead Devotionals: Kickoff Edition, Hall of Fame Edition. Award winning. Endorsed by Reggie's wife, Brett's mom, Kevin Harlan, Wayne Larrivee. https://t.co/wGbNh7vQ2M https://t.co/W5njlj0iGX #greatreads #GoPackGo",1201258762700500998,2019-12-01 21:56:21,795851276,Judy DuCharme
#GoPackGo #GreenBayAllDay #howboutdemcowboys 🤣💪🏿 https://t.co/CY5vigqJFD,1201258635466346496,2019-12-01 21:55:51,934686862928678912,Nah Lowitz
9-3..  AWESOME...  But a false sense of success..... Dive deep Packer fans..  Room for improvement all over and needed for any potential playoff run..  #GoPackGo,1201258601819586561,2019-12-01 21:55:43,295351620,PopRock 🇺🇸
“Great teams don’t lose 2 in a row” #GoPackGo,1201258586460037122,2019-12-01 21:55:39,478253678,Dan
"📢Cyber Monday Auction Low Bid Alert!🚨

Brett Favre ""SB XXXI Champs"" autographed Packers football!

Current bid is only $104!🤑

https://t.co/dozp9zEPu2

#cybermonday #brettfavre #autograph #sportsmemorabilia #memorabilia #auction #nfl #football #favre #packers #GoPackGo https://t.co/k6Heh2JKbY",1201258577567961094,2019-12-01 21:55:37,834433924679938051,Auction of Champions
@ASavageNation @VP @LindseyKevitch @marklevinshow @Sophiejulia @jeremypiven @UPS @KTNV @FOX5Vegas @JewishJournal @AKevitch @jennadewan @JennyTaft @RealSkipBayless @GOPLeader @drtonyevans @kenjeong @maxkellerman @RahmEmanuel @RepFredUpton @tedlieu @TulsiGabbard @BillHemmer @SandraSmithFox @BillClinton @seanhannity @SheinelleJones @Sheriff_LVMPD @LVMPD @FedEx 👂to @cannonhartman @ohrnberger @AM570LASports 👍 @kurt13warner @Kevinharlan @Theoldp @mattmoneysmith @AKevitch @brighten_HQ @Eagles #FlyEaglesFly @packers #GoPackGo @TomBrady @Edelman11 for @DCarr8 @espn_jon 👀🔝@Chargers #BoltUp &amp; go 2 @SanDiegoCounty @Kevin_Faulconer @sdut @EW,1201258576288681984,2019-12-01 21:55:37,989123054872608769,WarriorProphetJeremiahWBalik
"I like the win but come playoff time, the ONLY team I don’t wanna see...is the Seahawks. I hate playing them no matter where we at. #GoPackGo",1201258494021832706,2019-12-01 21:55:17,221854112,#RampagingBeast
Sweet picture from #GBvsNYG #GoPackGo https://t.co/nMVkSk0ATH,1201258430121627655,2019-12-01 21:55:02,817895171803193344,David Hawkins خناشي
"🏈 Domingo #NFL100 

✅ #FinsUp (3-9)
✅ #HTTR (3-9)
✅ #GoPackGo (9-3) 
✅ #GoBucs (5-7) 

❌ #FlyEaglesFly (5-7) 
❌ #KeepPounding (5-7)
❌ #GiantsPride (2-10)
❌ #DUUUVAL (4-8) https://t.co/3dG8SxhoNe",1201258412744617986,2019-12-01 21:54:58,1037718789142368256,SportmaniaMX
YES❕❕❕❕❕❕ #GoPackGo 🏈🏈🏈 https://t.co/YTc5hVXUhs,1201258387691859968,2019-12-01 21:54:52,193913902,MARIE 🐩🐾🐾🎄🎄🍗🍗💞🌵
Momma is sick so I put up the Christmas tree for her ☺️ #GoPackGo 💚💛 https://t.co/t5hlXWYOnJ,1201258265805574144,2019-12-01 21:54:23,636350437,julie 🌼
Calling it a night for #NFLRedZone an entertaining batch of early games.  Packers get another win to edge a little closer to claiming the Division. Really need the Seahawks to do us a favour on Monday night #GoPackGo,1201258242829115396,2019-12-01 21:54:18,24912591,Chöpstick 🇪🇺
"@Bill_Michaels The Rodgers numbers don't tell the real story... Not hitting open guys as pointed out by announcers, running down play clock continuously, wasted time outs, going deep to Adams on 3rd an short, no urgency w/ two min drill before half. ect... #GoPackGo",1201258159307927554,2019-12-01 21:53:58,295351620,PopRock 🇺🇸
