date_game,day_name,winner_school_name,winner_points,game_location,loser_school_name,loser_points
2020-01-01,Wed,Alabama,35,,Michigan,16
2020-01-01,Wed,Georgia,26,,Baylor,14
2020-01-01,Wed,Minnesota,31,,Auburn,24
2020-01-01,Wed,Oregon,28,,Wisconsin,27
2020-01-02,Thu,Cincinnati,38,,Boston College,6
2020-01-02,Thu,Tennessee,23,,Indiana,22
2020-01-03,Fri,Ohio,30,,Nevada,21
2020-01-04,Sat,Tulane,30,,Southern Mississippi,13
2020-01-06,Mon,Louisiana,27,,Miami (OH),17
2020-01-13,Mon,Louisiana State,42,,Clemson,25
2019-08-24,Sat,Florida,24,,Miami (FL),20
2019-08-31,Sat,Stanford,17,,Northwestern,7
2019-09-14,Sat,Louisville,38,,Western Kentucky,21
2019-09-21,Sat,Mississippi State,28,,Kentucky,13
2019-09-28,Sat,Texas State,24,,Nicholls State,3
2019-10-12,Sat,Arizona State,38,,Washington State,34
2019-10-19,Sat,Georgia Southern,30,,Coastal Carolina,27
2019-10-26,Sat,Middle Tennessee State,50,,Florida International,17
2019-11-02,Sat,UCLA,31,,Colorado,14
2019-11-16,Sat,Cincinnati,20,@,South Florida,17
2019-11-23,Sat,Kent State,41,,Ball State,38
2019-11-30,Sat,Kansas State,27,,Iowa State,17
2019-12-31,Tue,Arizona State,20,,Florida State,14
2019-08-31,Sat,Syracuse,24,@,Liberty,0
2019-08-31,Sat,Temple,56,,Bucknell,12
2019-08-31,Sat,Texas,45,,Louisiana Tech,14
2019-08-31,Sat,Texas Christian,39,,Arkansas-Pine Bluff,7
2019-08-31,Sat,Texas Tech,45,,Montana State,10
2019-08-31,Sat,Texas-El Paso,36,,Houston Baptist,34
2019-08-31,Sat,Texas-San Antonio,35,,Incarnate Word,7
2019-08-31,Sat,Troy,43,,Campbell,14
2019-08-31,Sat,Virginia,30,@,Pittsburgh,14
2019-08-31,Sat,Washington,47,,Eastern Washington,14
2019-08-31,Sat,Washington State,58,,New Mexico State,7
2019-08-31,Sat,West Virginia,20,,James Madison,13
2019-08-31,Sat,Western Michigan,48,,Monmouth,13
2019-08-31,Sat,Wyoming,37,,Missouri,31
2019-09-01,Sun,Oklahoma,49,,Houston,31
2019-09-02,Mon,Notre Dame,35,@,Louisville,17
2019-09-06,Fri,Arizona State,19,,Sacramento State,7
2019-09-06,Fri,Boise State,14,,Marshall,7
2019-09-06,Fri,Virginia,52,,William & Mary,17
2019-09-06,Fri,Wake Forest,41,@,Rice,21
2019-09-07,Sat,Alabama,62,,New Mexico State,10
2019-09-07,Sat,Alabama-Birmingham,31,@,Akron,20
2019-09-07,Sat,Appalachian State,56,,Charlotte,41
2019-09-07,Sat,Arizona,65,,Northern Arizona,41
2019-09-07,Sat,Arkansas State,43,@,Nevada-Las Vegas,17
2019-09-07,Sat,Auburn,24,,Tulane,6
2019-09-07,Sat,Ball State,57,,Fordham,29
2019-09-07,Sat,Baylor,63,,Texas-San Antonio,14
2019-09-07,Sat,Boston College,45,,Richmond,13
2019-09-07,Sat,Brigham Young,29,@,Tennessee,26
2019-09-07,Sat,California,20,@,Washington,19
2019-09-07,Sat,Central Florida,48,@,Florida Atlantic,14
2019-09-07,Sat,Clemson,24,,Texas A&M,10
2019-09-07,Sat,Coastal Carolina,12,@,Kansas,7
2019-09-07,Sat,Colorado,34,,Nebraska,31
2019-09-07,Sat,Colorado State,38,,Western Illinois,13
