yr,school_name,conf_abbr,wins,losses,ties,win_loss_pct,wins_conf,losses_conf,ties_conf,win_loss_pct_conf,points_per_g,opp_points_per_g,confname
1869,Princeton,Ind,1,1,0,0.5,0,0,0,0,6,3,Ind
1869,Rutgers,Ind,1,1,0,0.5,0,0,0,0,3,6,Ind
1870,Princeton,Ind,1,0,0,1,0,0,0,0,6,2,Ind
1870,Rutgers,Ind,1,1,0,0.5,0,0,0,0,4,4.5,Ind
1870,Columbia,Ind,0,1,0,0,0,0,0,0,3,6,Ind
1872,Princeton,Ind,1,0,0,1,0,0,0,0,4,1,Ind
1872,Yale,Ind,1,0,0,1,0,0,0,0,3,0,Ind
1872,Rutgers,Ind,1,1,1,0.5,0,0,0,0,2.7,3,Ind
1872,Columbia,Ind,1,2,1,0.375,0,0,0,0,2.8,2.5,Ind
1872,Stevens,Ind,0,1,0,0,0,0,0,0,0,6,Ind
1873,Princeton,Ind,1,0,0,1,0,0,0,0,3,0,Ind
1873,Columbia,Ind,2,1,0,0.667,0,0,0,0,3.3,3,Ind
1873,Stevens,Ind,2,1,0,0.667,0,0,0,0,4.3,1,Ind
1873,Yale,Ind,2,1,0,0.667,0,0,0,0,1.7,1.7,Ind
1873,Rutgers,Ind,1,2,0,0.333,0,0,0,0,3,3.7,Ind
1874,Princeton,Ind,2,0,0,1,0,0,0,0,6,0,Ind
1874,Yale,Ind,3,0,0,1,0,0,0,0,5.7,0.7,Ind
1874,Stevens,Ind,3,1,0,0.75,0,0,0,0,4,2,Ind
1874,Rutgers,Ind,1,3,0,0.25,0,0,0,0,1.8,4.3,Ind
1874,Columbia,Ind,1,5,0,0.167,0,0,0,0,1.5,4.7,Ind
1875,Harvard,Ind,4,0,0,1,0,0,0,0,1.8,0,Ind
1875,Princeton,Ind,2,0,0,1,0,0,0,0,6,1,Ind
1875,Columbia,Ind,4,1,1,0.75,0,0,0,0,3.2,1.7,Ind
1875,Rutgers,Ind,1,1,1,0.5,0,0,0,0,2.7,1.7,Ind
1875,Stevens,Ind,3,3,0,0.5,0,0,0,0,3,2.3,Ind
1875,Yale,Ind,2,2,0,0.5,0,0,0,0,3,2,Ind
1876,Rutgers,Ind,1,0,0,1,0,0,0,0,3,2,Ind
1876,Yale,Ind,3,0,0,1,0,0,0,0,1.7,0,Ind
1876,Harvard,Ind,3,1,0,0.75,0,0,0,0,1,0.3,Ind
1876,Princeton,Ind,3,2,0,0.6,0,0,0,0,3,0.6,Ind
1876,Stevens,Ind,2,2,0,0.5,0,0,0,0,3.8,2.5,Ind
1876,Pennsylvania,Ind,1,2,0,0.333,0,0,0,0,1.3,4,Ind
1876,Columbia,Ind,1,3,0,0.25,0,0,0,0,1.8,2.5,Ind
1877,Amherst,Ind,1,0,0,1,0,0,0,0,8,4,Ind
1877,Princeton,Ind,2,0,1,0.833,0,0,0,0,1.7,0,Ind
1877,Yale,Ind,3,0,1,0.875,0,0,0,0,5.3,0,Ind
1877,Harvard,Ind,3,1,0,0.75,0,0,0,0,2.5,0.3,Ind
1877,Columbia,Ind,2,2,0,0.5,0,0,0,0,0.5,2.5,Ind
1877,Rutgers,Ind,1,2,0,0.333,0,0,0,0,2,1.7,Ind
1877,Stevens,Ind,1,3,0,0.25,0,0,0,0,1,5,Ind
1877,Tufts,Ind,0,3,0,0,0,0,0,0,1.3,4,Ind
1878,Princeton,Ind,6,0,0,1,0,0,0,0,2.5,0.2,Ind
1878,Yale,Ind,5,1,0,0.833,0,0,0,0,1.5,0.2,Ind
1878,Columbia,Ind,0,0,2,0.5,0,0,0,0,0,0,Ind
1878,Stevens,Ind,1,1,2,0.5,0,0,0,0,0.3,1,Ind
1878,Harvard,Ind,1,2,0,0.333,0,0,0,0,1,0.7,Ind
1878,Pennsylvania,Ind,1,2,1,0.375,0,0,0,0,2.5,1,Ind
1878,Rutgers,Ind,1,2,1,0.375,0,0,0,0,0.3,1.5,Ind
1878,Amherst,Ind,1,3,0,0.25,0,0,0,0,0.3,1.5,Ind
1878,Brown,Ind,0,1,0,0,0,0,0,0,0,1,Ind
1879,Princeton,Ind,4,0,1,0.9,0,0,0,0,3.2,0,Ind
1879,Yale,Ind,3,0,2,0.8,0,0,0,0,2,0,Ind
1879,Harvard,Ind,2,1,2,0.6,0,0,0,0,0.6,0.2,Ind
1879,Pennsylvania,Ind,2,2,0,0.5,0,0,0,0,2,2.3,Ind
1879,Rutgers,Ind,1,2,3,0.417,0,0,0,0,0.8,1.8,Ind
1879,Stevens,Ind,1,2,5,0.438,0,0,0,0,0.8,1.5,Ind
1879,Columbia,Ind,0,3,2,0.2,0,0,0,0,0,1,Ind
1880,Princeton,Ind,4,0,1,0.9,0,0,0,0,3.4,0.2,Ind
2018,Clemson,ACC (Atlantic),15,0,NULL,1,8,0,NULL,1,44.3,13.1,ACC
2018,Syracuse,ACC (Atlantic),10,3,NULL,0.769,6,2,NULL,0.75,40.2,27,ACC
2018,North Carolina State,ACC (Atlantic),9,4,NULL,0.692,5,3,NULL,0.625,33.8,24.9,ACC
2018,Boston College,ACC (Atlantic),7,5,NULL,0.583,4,4,NULL,0.5,32,25.7,ACC
2018,Wake Forest,ACC (Atlantic),7,6,NULL,0.538,3,5,NULL,0.375,32.8,33.3,ACC
